ID,Question,Answer
1.2.6,True/False: The <aside> tag is used to denote content that is tangentially related to the content around it.,True
1.2.7,"Multiple Choice: Which statement is true about the <footer> element?
   - (A) It should only appear once at the bottom of the document.
   - (B) It can be used multiple times within sections or articles.
   - (C) It is deprecated in HTML5.
   - (D) It is reserved for bottom page copyrights only.",(B) It can be used multiple times within sections or articles.
1.2.8,"Multiple Choice: What does the 'charset' attribute in a <meta> tag specify?
   - (A) The character encoding for the HTML document
   - (B) The set of characters allowed in the document's comments
   - (C) The website's character count limits
   - (D) The character encoding for URLs within the document",(A) The character encoding for the HTML document
1.2.9,True/False: Inline styles added directly to HTML elements using the 'style' attribute are discouraged in modern web development practices.,True
1.2.10,"Multiple Choice: Which tag is specifically designed to programmatically access the content?
   - (A) <script>
   - (B) <output>
   - (C) <template>
   - (D) <object>",(A) <script>
1.3.1,True/False: The <p> tag is used to create line breaks in HTML documents.,False
1.3.2,"Multiple Choice: What is the purpose of the <p> tag in an HTML document?
   - (A) To define a line break
   - (B) To emphasize text
   - (C) To create a paragraph
   - (D) To insert an image",(C) To create a paragraph
1.3.3,True/False: Nested <p> tags are valid in HTML and do not cause any errors in document rendering.,False
1.3.4,"Multiple Choice: How do browsers typically display paragraphs?
   - (A) With no spacing between paragraphs
   - (B) With extra spacing above and below paragraphs
   - (C) By indenting the first line of each paragraph
   - (D) By making the text bold",(B) With extra spacing above and below paragraphs
1.3.5,True/False: Adding extra spaces within the text in an HTML document will affect the spacing between words in most web browsers.,False
1.3.6,"Multiple Choice: What does the <br> tag accomplish in an HTML document?
   - (A) It adds a background color to text.
   - (B) It creates a new paragraph.
   - (C) It inserts a line break within the text.
   - (D) It changes the font size of the text.",(C) It inserts a line break within the text.
1.3.7,True/False: The <br> tag requires a closing tag.,False
1.3.8,"Multiple Choice: What is the effect of multiple whitespace characters between words in HTML?
   - (A) They add multiple spaces in the rendered document.
   - (B) They are collapsed into a single space.
   - (C) They create a new paragraph.
   - (D) They are ignored by web browsers.",(B) They are collapsed into a single space.
1.3.9,True/False: The use of the <br> tag is recommended for managing the layout and spacing of elements in a webpage.,False
1.3.10,"Multiple Choice: How should line breaks be managed in HTML for content such as addresses or poetry?
   - (A) Using <p> tags at the end of each line
   - (B) Using CSS to manage spacing
   - (C) Using <br> tags at the end of each line
   - (D) Using <div> tags for each new line",(C) Using <br> tags at the end of each line
1.4.1,True/False: HTML comments are rendered in the browser and visible to the user.,False
1.4.2,"Multiple Choice: What is the correct syntax for an HTML comment?
   - (A) <comment>This is a comment</comment>
   - (B) <!-- This is a comment -->
   - (C) // This is a comment
   - (D) # This is a comment",(B) <!-- This is a comment -->
1.4.3,True/False: Comments in HTML can be nested inside other comments.,False
1.4.4,"Multiple Choice: Which of the following is a proper use of HTML comments?
   - (A) To execute a JavaScript function conditionally
   - (B) To leave notes for other developers within the code
   - (C) To create a hidden text field in a form
   - (D) To style elements differently based on the comment",(B) To leave notes for other developers within the code
1.4.5,True/False: Placing a comment inside an HTML tag will prevent the tag from being rendered.,False
1.4.6,"Multiple Choice: How should HTML comments be used in a document?
   - (A) To improve the page's SEO by including keywords
   - (B) To temporarily disable code without deleting it
   - (C) To create secure sections of code that cannot be viewed by the user
   - (D) To automatically update content on a webpage",(B) To temporarily disable code without deleting it
1.4.7,True/False: HTML comments can be used to hide scripts from browsers that do not support JavaScript.,True
1.4.8,"Multiple Choice: What happens if an HTML comment is incorrectly formatted?
   - (A) The comment is still hidden from the user.
   - (B) The content inside the comment may be displayed as text.
   - (C) The entire webpage fails to render.
   - (D) The comment turns into a functional HTML element.",(B) The content inside the comment may be displayed as text.
1.4.9,True/False: It is considered good practice to use comments to explain complex parts of the code.,True
1.4.10,"Multiple Choice: Which statement about HTML comments is true?
   - (A) Comments can be placed anywhere in the HTML, including within tags.
   - (B) Comments reduce the overall performance of the webpage.
   - (C) Comments can execute HTML code when the page loads.
   - (D) Comments are often used to include executable code on the page.","(A) Comments can be placed anywhere in the HTML, including within tags."
1.5.1,"Multiple Choice: What is the purpose of the 'alt' attribute in an <img> tag?
   - (A) To provide a caption for the image
   - (B) To display an alternative text description if the image cannot be loaded
   - (C) To increase the image size
   - (D) To link to another webpage",(B) To display an alternative text description if the image cannot be loaded
1.5.2,True/False: The 'src' attribute in an <img> tag is optional.,False
1.5.3,"Multiple Choice: Which attribute specifies the image source in an <img> tag?
   - (A) href
   - (B) src
   - (C) rel
   - (D) type",(B) src
1.5.4,True/False: The 'alt' attribute is required in <img> tags to pass HTML validation.,True
1.5.5,"Multiple Choice: What happens if the 'src' attribute of an <img> tag is missing?
   - (A) The image displays as a broken icon.
   - (B) The browser automatically searches for a valid source.
   - (C) No image space is rendered in the document.
   - (D) The alt text is displayed in place of the image.",(A) The image displays as a broken icon.
1.5.6,True/False: The <img> tag can be used to embed a video file into a webpage.,False
1.5.7,"Multiple Choice: Which attribute in an <img> tag defines the space an image occupies before it loads?
   - (A) alt
   - (B) width and height
   - (C) src
   - (D) style",(B) width and height
1.5.8,True/False: The dimensions specified in the <img> tag always override the natural size of the image.,False
1.5.9,"Multiple Choice: How does the browser handle an <img> tag with conflicting width and height attributes that distort the image's natural aspect ratio?
   - (A) The image is displayed with the specified dimensions, possibly distorted.
   - (B) The browser adjusts the dimensions to maintain the aspect ratio.
   - (C) The image fails to load.
   - (D) The browser ignores the height attribute.","(A) The image is displayed with the specified dimensions, possibly distorted."
1.5.10,True/False: The <img> tag supports both width and height attributes to control image sizing without CSS.,True
1.6.1,True/False: An unordered list in HTML is used when the order of the items is important.,False
1.6.2,"Multiple Choice: Which HTML element is used to create an unordered list?
   - (A) <ol>
   - (B) <ul>
   - (C) <li>
   - (D) <list>",(B) <ul>
1.6.3,True/False: List items within an unordered list are automatically numbered by the browser.,False
1.6.4,"Multiple Choice: What is the correct HTML element for creating a list item?
   - (A) <item>
   - (B) <li>
   - (C) <listitem>
   - (D) <ul>",(B) <li>
1.6.5,"Multiple Choice: Which attribute would you use to change the bullet style in an unordered list using CSS?
   - (A) list-style-type
   - (B) list-bullet-style
   - (C) bullet-style
   - (D) type-style",(A) list-style-type
1.6.6,True/False: It is valid HTML to nest an unordered list within an ordered list.,True
1.6.7,"Multiple Choice: How can you start an ordered list at a number other than one?
   - (A) Using the ""start"" attribute with the desired number
   - (B) Using the ""begin"" attribute with the desired number
   - (C) Using the ""first"" attribute with the desired number
   - (D) It is not possible to start at a number other than one","(A) Using the ""start"" attribute with the desired number"
1.6.8,"True/False: The <ol> element's numbering can be changed to alphabetical or Roman numerals using the ""type"" attribute.",True
1.6.9,"Multiple Choice: What is the default list item marker for an unordered list?
   - (A) Numbers
   - (B) Dashes
   - (C) Bullets
   - (D) Squares",(C) Bullets
1.6.10,True/False: The <li> element can be used outside of <ul> or <ol> elements.,False
1.7.1,True/False: The `<a>` tag is used to define a division or a section in an HTML document.,False
1.7.2,"Multiple Choice: What attribute of the `<a>` tag specifies the URL the link goes to?
   - (A) src
   - (B) href
   - (C) rel
   - (D) type",(B) href
1.7.3,True/False: The `mailto:` URL scheme in an `<a>` tag's href attribute is used to link to another webpage.,False
1.7.4,"Multiple Choice: Which URL scheme starts an email program to send an email?
   - (A) http://
   - (B) ftp://
   - (C) mailto:
   - (D) https://",(C) mailto:
1.7.5,"Multiple Choice: What does clicking a hyperlink with an `href` attribute containing `mailto:someone@example.com` do?
   - (A) Opens a webpage at `example.com`
   - (B) Starts an email program to send an email to `someone@example.com`
   - (C) Downloads a file from `example.com`
   - (D) Connects to a live chat with `someone@example.com`",(B) Starts an email program to send an email to `someone@example.com`
1.7.6,True/False: An `<a>` element can only contain text and cannot include images.,False
1.7.7,"Multiple Choice: What attribute would you use to open a hyperlink in a new browser tab?
   - (A) target=""_self""
   - (B) target=""_parent""
   - (C) target=""_blank""
   - (D) target=""_top""","(C) target=""_blank"""
1.7.8,"True/False: Using `target=""_blank""` in an `<a>` tag ensures that the linked document will open in a new tab, but not a new window.",False
1.7.9,"Multiple Choice: How do you create a hyperlink that points to a specific section of the same webpage?
   - (A) Use the `id` attribute in the `<a>` tag
   - (B) Use the `name` attribute in the `<a>` tag
   - (C) Use a hash (`#`) followed by the section's identifier in the `href` attribute
   - (D) Use the `link` element",(C) Use a hash (`#`) followed by the section's identifier in the `href` attribute
1.7.10,True/False: Relative URLs cannot be used within the `<a>` element to link to resources within the same site.,False
1.8.1,True/False: Containers in HTML are always block-level elements.,False
1.8.2,"Multiple Choice: What is the primary purpose of a container element like `<div>`?
   - (A) To create hyperlinks
   - (B) To structure the document and group content
   - (C) To display content as inline
   - (D) To underline text",(B) To structure the document and group content
1.8.3,True/False: The `<span>` element is used for creating block containers.,False
1.8.4,"Multiple Choice: Which HTML element is typically used as a generic container for styling purposes without any semantic meaning?
   - (A) `<p>`
   - (B) `<span>`
   - (C) `<div>`
   - (D) `<header>`",(C) `<div>`
1.8.5,True/False: The `<div>` element can contain both block-level and inline elements.,True
1.8.6,"Multiple Choice: What does it mean if an element is described as an ""inline"" element?
   - (A) It occupies the full width of its parent container.
   - (B) It does not start on a new line and only takes up as much width as necessary.
   - (C) It cannot contain other elements.
   - (D) It is always hidden from view.",(B) It does not start on a new line and only takes up as much width as necessary.
1.8.7,True/False: An `<a>` tag can be used as a container for both text and images.,True
1.8.8,"Multiple Choice: Which element is most suitable for marking up a sidebar with secondary content like links or advertisements?
   - (A) `<main>`
   - (B) `<footer>`
   - (C) `<aside>`
   - (D) `<nav>`",(C) `<aside>`
1.8.9,True/False: A `<footer>` element can only contain text and no other HTML elements.,False
1.8.10,"Multiple Choice: What type of HTML element is `<header>`, and what is its typical use?
   - (A) Inline; used for short text links
   - (B) Block; used for introductory content or navigational links
   - (C) Inline; used to group navigation links
   - (D) Block; used only for bottom page content",(B) Block; used for introductory content or navigational links
1.9.1,True/False: The `<table>` tag is used for creating structured layouts for web pages.,False
1.9.2,"Multiple Choice: Which HTML element defines a single cell in a table header?
   - (A) `<td>`
   - (B) `<tr>`
   - (C) `<th>`
   - (D) `<caption>`",(C) `<th>`
1.9.3,True/False: The `<caption>` tag must appear after the table rows.,False
1.9.4,"Multiple Choice: What attribute of the `<td>` element makes it span multiple columns?
   - (A) `expand`
   - (B) `colspan`
   - (C) `stretch`
   - (D) `widthspan`",(B) `colspan`
1.9.5,True/False: The `<tbody>` element is optional in HTML tables.,True
1.9.6,"Multiple Choice: Which tag is used to group the body content in an HTML table?
   - (A) `<thead>`
   - (B) `<tfoot>`
   - (C) `<tbody>`
   - (D) `<tgroup>`",(C) `<tbody>`
1.9.7,True/False: You can use the `<th>` element within `<tbody>` to emphasize certain rows.,True
1.9.8,"Multiple Choice: How do you define a table row that should appear at the bottom of a table, but is not a footer?
   - (A) Use the `<tfoot>` tag.
   - (B) Use the `<lastrow>` tag.
   - (C) Use the `<bottom>` tag.
   - (D) Simply place it at the end of the `<tbody>` section.",(D) Simply place it at the end of the `<tbody>` section.
1.9.9,True/False: Table headers created with `<th>` are automatically bolded and centered by default in most browsers.,True
1.9.10,"Multiple Choice: What is the purpose of the `<tfoot>` element in an HTML table?
   - (A) To provide a summary or total row at the bottom of the table sections
   - (B) To define the main content of the table
   - (C) To add a header to the table
   - (D) To decorate the table with additional styling",(A) To provide a summary or total row at the bottom of the table sections
2.1.1,"Multiple Choice: What is the primary function of CSS?
   - (A) To structure web page content
   - (B) To create interactive user interfaces
   - (C) To define the visual presentation of web pages
   - (D) To manage the server response to web requests",(C) To define the visual presentation of web pages
2.1.2,"Multiple Choice: Which CSS property is used to change the text color of an element?
   - (A) color
   - (B) background-color
   - (C) font-style
   - (D) text-decoration",(A) color
2.1.3,"Multiple Choice: What does the 'Cascading' in Cascading Style Sheets (CSS) primarily describe?
   - (A) The priority scheme that determines which style rules apply to an element
   - (B) The method by which styles are passed from parent to child elements
   - (C) The flow of styles as they appear from top to bottom in a stylesheet
   - (D) Both (A) and (B)",(D) Both (A) and (B)
2.1.4,"Multi-Select: Which of the following are valid ways to integrate CSS into a webpage? (Select all that apply)
   - (A) Inline styles
   - (B) Internal stylesheets
   - (C) External stylesheets
   - (D) Importing CSS via JavaScript","(A) Inline styles, (B) Internal stylesheets, (C) External stylesheets"
2.1.5,"Multiple Choice: What is the default behavior when multiple styles are applied to an element?
   - (A) The first style in the HTML file is applied.
   - (B) All styles are combined and applied.
   - (C) The most specific style according to CSS specificity rules is applied.
   - (D) The last style in the CSS file is applied.",(C) The most specific style according to CSS specificity rules is applied.
2.1.6,"Multiple Choice: Which CSS property controls the text size?
   - (A) text-size
   - (B) font-style
   - (C) font-weight
   - (D) font-size",(D) font-size
2.1.7,"Multiple Choice: What does the 'style' attribute represent in an HTML tag?
   - (A) A way to add a unique identifier to an element
   - (B) A method to apply CSS rules directly to the element
   - (C) A link to an external stylesheet
   - (D) An indication of the element's importance in the document",(B) A method to apply CSS rules directly to the element
2.1.8,"Multiple Choice: Which selector would target all <p> elements inside <div> elements?
   - (A) div p
   - (B) div + p
   - (C) div > p
   - (D) p div",(A) div p
2.1.9,"Multi-Select: What are the effects of using the '!important' declaration in a CSS rule? (Select all that apply)
   - (A) It increases the priority of the CSS rule.
   - (B) It makes the CSS file larger.
   - (C) It overrides other declarations even if they have higher specificity.
   - (D) It can make debugging and maintenance of CSS more difficult.","(A) It increases the priority of the CSS rule, (C) It overrides other declarations even if they have higher specificity, (D) It can make debugging and maintenance of CSS more difficult."
2.1.10,"Multiple Choice: Which property is used to create space around elements, inside of any defined borders?
   - (A) margin
   - (B) padding
   - (C) border
   - (D) width",(B) padding
2.2.1,"Multiple Choice: Which selector is used to apply styles to elements with a specific class?
   - (A) #
   - (B) .
   - (C) :
   - (D) *",(B) .
2.2.2,"Multiple Choice: What does an ID selector begin with in CSS?
   - (A) A hash (#)
   - (B) A dot (.)
   - (C) An at sign (@)
   - (D) A dollar sign ($)",(A) A hash (#)
2.2.3,"Multi-Select: Which of the following are true about class selectors? (Select all that apply)
   - (A) They can be used to style multiple elements simultaneously.
   - (B) They must be unique within a page.
   - (C) They are represented by a period (.) prefix.
   - (D) They have higher specificity than element selectors.","(A) They can be used to style multiple elements simultaneously, (C) They are represented by a period (.) prefix, (D) They have higher specificity than element selectors."
2.2.4,"Multiple Choice: How would you select an HTML element with the ID 'banner'?
   - (A) .banner
   - (B) #banner
   - (C) banner
   - (D) &banner",(B) #banner
2.2.5,"Multiple Choice: Which selector would you use to style all <p> elements within a <div>?
   - (A) div p
   - (B) div + p
   - (C) div > p
   - (D) p div",(A) div p
2.2.6,"Multiple Choice: What does a descendant selector use to combine two selectors?
   - (A) A comma (,)
   - (B) A plus sign (+)
   - (C) A greater than sign (>)
   - (D) A space",(D) A space
2.2.7,"Multiple Choice: If an element has multiple classes, which class's styles are applied?
   - (A) The first class listed in the class attribute
   - (B) The last class listed in the class attribute
   - (C) All applicable styles are combined
   - (D) Only the class with the highest specificity",(C) All applicable styles are combined
2.2.8,"Multi-Select: Which statements are true about ID selectors? (Select all that apply)
   - (A) They can be used on more than one element per page.
   - (B) They are unique to a single element on a page.
   - (C) They have higher specificity than class selectors.
   - (D) They are denoted by a period (.)","(B) They are unique to a single element on a page, (C) They have higher specificity than class selectors"
2.2.9,"Multiple Choice: What is the result of applying multiple CSS rules with different selectors to the same element?
   - (A) Only the first rule is applied.
   - (B) Only the last rule is applied.
   - (C) All rules are applied, but properties are combined based on specificity.
   - (D) The browser randomly chooses which rule to apply.","(C) All rules are applied, but properties are combined based on specificity."
2.2.10,"Multiple Choice: How do you select all elements that are the direct children of a <div> element?
   - (A) div > *
   - (B) div + *
   - (C) div *
   - (D) div ~ *",(A) div > *
2.3.1,"Multiple Choice: What is the purpose of the CSS `color` property?
   - (A) To set the background color of an element
   - (B) To define the text color of an element
   - (C) To specify the border color of an element
   - (D) To change the color of links within an element",(B) To define the text color of an element
2.3.2,"Multiple Choice: Which function is used to specify colors in terms of hue, saturation, and lightness in CSS?
   - (A) rgb()
   - (B) rgba()
   - (C) hsl()
   - (D) hex()",(C) hsl()
2.3.3,"Multi-Select: Which properties can use the `rgba()` function for defining colors? (Select all that apply)
   - (A) color
   - (B) background-color
   - (C) border-color
   - (D) outline-color","(A) color, (B) background-color, (C) border-color, (D) outline-color"
2.3.4,"Multiple Choice: How do you specify a background image for an element in CSS?
   - (A) background-image: url('image.jpg');
   - (B) background: image('image.jpg');
   - (C) background-url: 'image.jpg';
   - (D) bg-image: url('image.jpg');",(A) background-image: url('image.jpg');
2.3.5,"Multiple Choice: What does setting `background-color` to `transparent` do?
   - (A) Makes the element's background fully opaque
   - (B) Makes the element's background solid without transparency
   - (C) Allows the background of underlying elements to be visible
   - (D) Hides the element completely from view",(C) Allows the background of underlying elements to be visible
2.3.6,"Multiple Choice: What is the result of using the `float` property with a value of `left` on an image within a paragraph?
   - (A) The image is removed from the flow of the document
   - (B) The image floats to the left, and text wraps around it on the right
   - (C) The image stays fixed at the left edge of its container
   - (D) The image aligns to the left, but text does not wrap around it","(B) The image floats to the left, and text wraps around it on the right"
2.3.7,"Multi-Select: What scenarios are appropriate for using the `clear` property in CSS? (Select all that apply)
   - (A) To prevent text from wrapping around floated elements
   - (B) To set which sides of an element floating elements cannot be next to
   - (C) To increase the space around floating elements
   - (D) To reset the floating behavior of elements","(A) To prevent text from wrapping around floated elements, (B) To set which sides of an element floating elements cannot be next to, (D) To reset the floating behavior of elements"
2.3.8,"Multiple Choice: Which CSS property combines the definitions of `background-color`, `background-image`, `background-position`, and `background-repeat`?
   - (A) background-combine
   - (B) background
   - (C) background-set
   - (D) background-all",(B) background
2.3.9,"Multiple Choice: How does CSS handle the transparency of colors specified with the `hsla()` function?
   - (A) The 'a' in `hsla()` stands for absolute, which prevents any transparency
   - (B) The alpha channel controls the transparency; 1 is fully opaque, 0 is fully transparent
   - (C) Transparency is not supported in `hsla()`, only in `rgba()`
   - (D) Transparency effects are reversed in `hsla()` compared to `rgba()`","(B) The alpha channel controls the transparency; 1 is fully opaque, 0 is fully transparent"
2.3.10,"Multiple Choice: What is the CSS `background-clip` property used for?
   - (A) To define the painting area of the background
   - (B) To clip the background to fit the content area only
   - (C) To add animation effects to the background
   - (D) To prevent the background from scrolling with the content",(A) To define the painting area of the background
2.4.1,"Multiple Choice: What does the `font-family` property specify in CSS?
   - (A) The line height of text
   - (B) The decoration of the text
   - (C) The font type used for text rendering
   - (D) The color of the text",(C) The font type used for text rendering
2.4.2,"Multiple Choice: Which unit is relative to the parent element’s font size?
   - (A) px
   - (B) em
   - (C) cm
   - (D) pt",(B) em
2.4.3,"Multi-Select: Which properties are set by the shorthand `font` property? (Select all that apply)
   - (A) font-family
   - (B) font-size
   - (C) font-weight
   - (D) line-height","(A) font-family, (B) font-size, (C) font-weight"
2.4.4,"Multiple Choice: How would you set the font weight to bold for a paragraph element?
   - (A) p { font-style: bold; }
   - (B) p { font-weight: bold; }
   - (C) p { text-decoration: bold; }
   - (D) p { font-family: bold; }",(B) p { font-weight: bold; }
2.4.5,"Multiple Choice: What is the default size of the font-size property if not specified?
   - (A) 16px
   - (B) 12px
   - (C) 10px
   - (D) 14px",(A) 16px
2.4.6,"Multiple Choice: Which CSS property changes the text style to italic?
   - (A) font-weight
   - (B) font-style
   - (C) text-decoration
   - (D) text-align",(B) font-style
2.4.7,"Multiple Choice: What does the `font-variant` property affect?
   - (A) The transformation of text to uppercase or lowercase
   - (B) The embellishment of text like underlining
   - (C) The presentation of lowercase letters as small capitals
   - (D) The alignment of text",(C) The presentation of lowercase letters as small capitals
2.4.8,"Multiple Choice: If a specific font in a font-family list is not available, what happens?
   - (A) The browser hides the text
   - (B) The browser chooses the next available font in the list
   - (C) The text is displayed using the default browser font
   - (D) The browser downloads the font from the internet",(B) The browser chooses the next available font in the list
2.4.9,"Multiple Choice: What unit is best used for defining font sizes that scale with device settings?
   - (A) pixels (px)
   - (B) points (pt)
   - (C) viewport width (vw)
   - (D) root em (rem)",(D) root em (rem)
2.4.10,"Multiple Choice: Which of the following is a generic family name in CSS?
   - (A) Arial
   - (B) sans-serif
   - (C) Georgia
   - (D) Garamond",(B) sans-serif
2.5.1,"Multiple Choice: What does the CSS 'box model' refer to?
   - (A) A method for designing 3D animations
   - (B) A concept that encompasses padding, border, and margin of HTML elements
   - (C) The outline used for interactive elements on a webpage
   - (D) A debugging tool in modern browsers","(B) A concept that encompasses padding, border, and margin of HTML elements"
2.5.2,"Multiple Choice: Which property directly affects the spacing between the content of a box and its border?
   - (A) margin
   - (B) border
   - (C) padding
   - (D) width",(C) padding
2.5.3,"Multi-Select: Which layers are considered when calculating the total size of an element in the CSS box model? (Select all that apply)
   - (A) Content
   - (B) Padding
   - (C) Border
   - (D) Margin","(A) Content, (B) Padding, (C) Border"
2.5.4,"Multiple Choice: How is the 'border' property of a box typically defined in CSS?
   - (A) Using the border-color property only
   - (B) Through separate properties for width, style, and color
   - (C) As a shorthand that combines padding, border, and margin settings
   - (D) It is not a standalone property but a subset of the padding property","(B) Through separate properties for width, style, and color"
2.5.5,"Multiple Choice: What is the effect of setting the 'margin' property to 'auto'?
   - (A) It removes the margin.
   - (B) It maximizes the margin based on the available space.
   - (C) It centers the element within its containing element if width is specified.
   - (D) It minimizes the margin to zero pixels.",(C) It centers the element within its containing element if width is specified.
2.5.6,"Multiple Choice: Which property is used to control the transparency level of a border?
   - (A) border-opacity
   - (B) border-color
   - (C) opacity
   - (D) border-style",(B) border-color
2.5.7,"Multiple Choice: When does margin collapsing occur?
   - (A) When adjacent margins of floated elements combine
   - (B) When vertical margins of block elements touch each other
   - (C) Only when horizontal margins of inline elements combine
   - (D) It never occurs in modern CSS",(B) When vertical margins of block elements touch each other
2.5.8,"Multi-Select: What are the possible values for the 'box-sizing' property in CSS? (Select all that apply)
   - (A) content-box
   - (B) padding-box
   - (C) border-box
   - (D) margin-box","(A) content-box, (C) border-box"
2.5.9,"Multiple Choice: What is the default box-sizing property value in CSS?
   - (A) border-box
   - (B) padding-box
   - (C) content-box
   - (D) margin-box",(C) content-box
2.5.10,"Multiple Choice: Which CSS property is used to hide elements without affecting the layout?
   - (A) visibility: hidden;
   - (B) display: none;
   - (C) opacity: 0;
   - (D) margin: 0;",(A) visibility: hidden;
2.6.1,"Multiple Choice: What does `position: relative;` do in CSS?
   - (A) Positions an element relative to its parent element
   - (B) Positions an element based on the top-left corner of the viewport
   - (C) Positions an element relative to its normal position in the document flow
   - (D) Positions an element relative to the first parent with a position other than `static`",(C) Positions an element relative to its normal position in the document flow
2.6.2,"Multiple Choice: When using `position: absolute;`, what happens if no ancestor elements have a position other than `static`?
   - (A) The element is positioned relative to the viewport
   - (B) The element is positioned relative to its parent element
   - (C) The element does not appear on the page
   - (D) The element is positioned relative to the document's root element",(A) The element is positioned relative to the viewport
2.6.3,"Multi-Select: Which positioning values remove an element from the normal document flow? (Select all that apply)
   - (A) `position: absolute;`
   - (B) `position: relative;`
   - (C) `position: fixed;`
   - (D) `position: sticky;`","(A) `position: absolute;`, (C) `position: fixed;`"
2.6.4,"Multiple Choice: What is the key difference between `position: fixed;` and `position: absolute;`?
   - (A) Fixed elements scroll with the page, while absolute elements remain in place.
   - (B) Fixed elements are positioned relative to the viewport, while absolute elements are positioned relative to their nearest positioned ancestor.
   - (C) Fixed elements are always at the top of the page, while absolute elements move with the page.
   - (D) Fixed elements cannot have z-index, while absolute elements can.","(B) Fixed elements are positioned relative to the viewport, while absolute elements are positioned relative to their nearest positioned ancestor."
2.6.5,"Multiple Choice: What happens when `position: sticky;` is applied to an element?
   - (A) The element remains static until it reaches a specified threshold, after which it becomes fixed.
   - (B) The element is hidden until a scroll event occurs.
   - (C) The element remains fixed in place once it is rendered.
   - (D) The element behaves the same as an absolutely positioned element.","(A) The element remains static until it reaches a specified threshold, after which it becomes fixed."
2.6.6,"Multiple Choice: Which of the following CSS properties is typically used to set the stacking order of elements with positioning?
   - (A) z-index
   - (B) float
   - (C) visibility
   - (D) opacity",(A) z-index
2.6.7,"Multi-Select: Which CSS properties can be used to control the position of an element when `position: absolute;` or `position: relative;` is set? (Select all that apply)
   - (A) top
   - (B) left
   - (C) bottom
   - (D) right","(A) top, (B) left, (C) bottom, (D) right"
2.6.8,"Multiple Choice: Which value of the `position` property is the default for all elements in a document?
   - (A) `relative`
   - (B) `absolute`
   - (C) `static`
   - (D) `fixed`",(C) `static`
2.6.9,"Multiple Choice: When `position: fixed;` is applied, the element is positioned relative to:
   - (A) The nearest positioned ancestor
   - (B) The document’s root element
   - (C) The viewport
   - (D) The container's padding box",(C) The viewport
2.6.10,"Multi-Select: Which of the following are common use cases for `position: absolute;`? (Select all that apply)
   - (A) Creating tooltips or dropdown menus
   - (B) Centering elements within a container
   - (C) Creating elements that remain in place when the page is scrolled
   - (D) Layering elements on top of each other with z-index","(A) Creating tooltips or dropdown menus, (B) Centering elements within a container, (D) Layering elements on top of each other with z-index"
